name,description,effect,slot,stamina_cost,bonus,group,location,dlc
Vortex of Putrescence,"Sorcery used by the Putrescent Knight. Launches a whirl of putrescent jets that explode shortly after impact and bathe the area in ghostflame. In an age long past, Death was burned by ghostflame. Even the remains of tainted flesh were given equal treatment in death.",Launches a whirl of putrescent jets,2,45,Death,Damage,Can be selected as one of the possible rewards when trading Remembrance of Putrescence with Enia at the Roundtable Hold.,1
Mass of Putrescence,"Sorcery originating from the putrid liquor of the stone coffins. Flings a great mass of putrescence that explodes shortly after impact, raining ghostflame upon the area. In an age long past, Death was burned by ghostflame. Even the remains of tainted flesh were given equal treatment in death. lob it to the side of them",Flings a great mass of putrescence,1,42,Death,Damage,"Stone Coffin Fissure: from the Fissure Waypoint grace, jump the small gap and drop down the ledge to the left. Located behind some small stalagmites.",1
Fleeting Microcosm,"A finger sorcery of Count Ymir, High Priest. One of the secret hallowed rites. Conjures an image of a microcosm at a foe's feet that pulses with a single wave before disappearing in a burst. Charging enhances potency. The broken and discarded are fully willing to cling to fleeting simulacra, earning them some modicum of sympathy.","Conjures a microcosm that pulses with a single wave, disappearing in a burst",1,35,Finger,Damage,Cathedral of Manus Metyr: Available for purchase from Count Ymir after sounding the second finger bell.,1
Cherishing Fingers,"A finger sorcery of Count Ymir, aspiring mother of fingers. Surrounds the caster with a mesh of hefty fingers that wards all manner of projectiles, whether magical or physical in nature, away from the caster. Charging enhances potency. The dear fingers look after their mother, or perhaps that is merely what the mother wishes to believe.",Surrounds the caster with a mesh of hefty fingers,1,20,Finger,Defence,Cathedral of Manus Metyr: Located in the nearby graveyard after completing Count Ymir's questline,1
Adula's Moonblade,"Sorcery of Adula, the Glintstone Dragon. Conjures a cold magic greatsword, then delivers a sweeping blow that launches a blade-like projectile of frost. This sorcery can be cast repeatedly. Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon. Note:",Sweeping slash followed by cold blade projectile,1,22,Cold,Damage,Dropped by the Glintstone Dragon Adula located at the Cathedral of Manus Celes.,0
Ambush Shard,"One of the night sorceries of Sellia, Town of Sorcery.Launches a projectile from a distance removed from the caster, so as to strike the enemy from behind.This sorcery can be cast repeatedly.The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",Strikes from behind with projectile fired from distance,1,15,Night,Damage,Weeping Peninsula: Found on a corpse in the underground jail of the Witchbane Ruins.,0
Ancient Death Rancor,"Sorcery of the servants of Death. Summons a horde of vengeful spirits that chase down foes. Charging enhances potency. They are cinders of the ancient death hex, raked from the fires of ghostflame by Deathbirds. Notes:",Summons horde of vengeful spirits that chase down foes,1,27,Death,Damage,"Dropped by the Death Rite Bird in Liurnia of the Lakes, to the east of Raya Lucaria Academy at night, south of the Gate Town North site of grace.",0
Briars of Punishment,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of punishment, sending a trail of bloodthorns running over the ground to impale enemies from below. This sorcery can be cast repeatedly. The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",Wounds caster to unleash trail of bloodthrorns,1,22,Aberrant,Damage,Can be found at the leftmost dead tree next to three Lesser Fire Monks just before the long stone bridge with the Golem Archer at the end in the Mountaintops of the Giants region.,0
Briars of Sin,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of sin, creating a spiral of bloodthorns. This sorcery can be cast repeatedly, up to three times. Note:",Summons thorns from a whorl of own blood,1,26,Aberrant,Damage,Liurnia of the Lakes: Dropped by a Thorn-Fire Sorcerer directly north-west from the Artist's Shack. Jump across the rocks and they'll be by a group of fire slugs.,0
Cannon of Haima,"One of the glintstone sorceries of the Academy of Raya Lucaria.Lobs an explosive magic projectile that flies in an arc.Charging enhances potency.Drawn from the conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict. Note:",Lobs an explosive magic projectile in an arc,1,42,Glintstone,Damage,Can be found in the chest at the top of the Converted Fringe Tower in the northeast of the Liurnia of the Lakes region[Map Link],0
Carian Greatsword,"One of the sorceries of the Carian royal family.Conjures a magic greatsword and then delivers a sweeping blow.This sorcery can be cast repeatedly.Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon. Note:",Performs sweeping slash using magical greatsword,1,22,Carian,Damage,"Can be purchased from Miriel, Pastor of Vows at the Church of Vows for 10,000 Runes. Map Link.",0
Carian Phalanx,"One of the sorceries of the Carian royal family. Creates a defensive arch of numerous magic glintblades overhead, which automatically attack nearby foes.This sorcery can be used cast while in motion. An enhanced version of the glintblade sorcery used by enchanted knights. NOTE:",Forms a defensive arch of numerous magic glintblades,1,16,Carian,Defence,"Sold by Preceptor Seluvis at Seluvis's Rise for 12,000 Runes.",0
Carian Piercer,One of the sorceries of the Carian royal family. Conjures a magic greatsword to impale foes.Charging lengthens the initial step in. This sorcery forms a counterpart to Carian Greatsword. Highly lethal when used against single foes riding alone. Note:,Impales foes with magical greatsword,1,25,Carian,Damage,"Caria Manor: Dropped by a Teardrop Scarab in an area behind the gardens, to the east. [Map Link]",0
Carian Retaliation,"One of the sorceries of the Carian royal family. Swing your staff to dispel incoming sorceries and incantations, using their power to retaliate with glintblades. This was the Carian royal family's secret means to prepare against the disloyalty of the academy. The moon and stars would one day go their separate ways.",Dispels enemy spells and retaliates with glintblades,1,15,Carian,Defence,"Can be purchased from Preceptor Seluvis for 9,000 Runes at Seluvis's Rise",0
Carian Slicer,"One of the sorceries of the Carian royal family. Conjures a magic sword and delivers a swift sweeping slash.This sorcery can be used without delay after performing anotheraction. Even among the Carian sword sorceries, this is a notably effective technique.",Performs swift sweeping slash using magical sword,1,12,Carian,Damage,"After giving the Royal House Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis, the spell can be purchased for 1,500 Runes.",0
Collapsing Stars,"One of the glintstone sorceries that manipulates gravitational forces. Fires numerous gravitational projectiles. Any foes struck will be pulled toward the caster. Charging enhances potency. A gravitational technique mastered by the young Radahn. ""I thank you for your tutelage, for now I can challenge the stars.""",Pulls foes toward caster with gravity projectile volley,1,27,Gravity,Utility,Found in a chest located at the War-Dead Catacombs (Starscourge Radahn arena after defeat),0
Comet,Note:,Fires a great magic comet,1,31,Glintstone,Damage,Found in Raya Lucaria through an Illusory Wall just before the Site of Grace at Debate Parlor.,0
Comet Azur,"Legendary sorcery devised by Azur, primeval sorcerer. Fires a tremendous comet in a torrent akin to the distant starry expanse, the place said to be the origin of glintstone.Hold to continue releasing the sorcery's power. When Azur glimpsed into the primeval current, he saw darkness. He was left both bewitched and fearful of the abyss.",Fires a tremendous comet within a starry torrent,3,34,Primeval Sorceries,Damage,Hermit Village in Mt. Gelmir: Acquired from Primeval Sorcerer Azur sitting near the cliffs in the northeast.,0
Crystal Barrage,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a volley of glintstone crystal shards.Charging increases potency. A sorcery of the Crystal Cadre, a group of sorcerers who pursue the wisdom of stone - the secrets locked in the faint cogitation of the Crystalians.",Fires a volley of glintstone crystal shards,1,26,Glintstone,Damage,"Can be purchased from Sorceress Sellen for 1,500 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
Crystal Burst,"One of the glintstone sorceries of the Academy of Raya Lucaria.Fires a burst of glintstone crystal shards.This sorcery can be cast repeatedly and while in motion. Charging increases potency.A sorcery of the Crystal Cadre, a group of sorcerers who pursued the wisdom of stone - the secrets locked in the faint cogitation of the Crystalians. NOTE:",Fires a burst of glintstone crystal shards,1,9,Glintstone,Damage,Drops from the Demi-Human Queen mini-boss in the Demi-Human Forest Ruins on the Weeping Peninsula.,0
Crystal Release,"Sorcery of the mysterious Crystalians.Creates a mass of crystal, then shatters it to scour a wide area with a violent rain of crystal shards.This sorcery is used by high-ranking adepts among the Crystalians. Some also call this sorcery ""the Crystal Sun."" Note:",Scours area with violent rain of crystal shards,1,26,Crystalian,Damage,Dropped by the Crystalians at the Academy Crystal Cave,0
Crystal Torrent,"Sorcery of the mysterious Crystalians. Creates a mass of crystal, then fires off shards in rapid succession. Hold to continue firing shards. The wrath of the Crystalians encapsulated in sorcery. Each shard is of substantial size, making even a stray blow capable of inflicting a severe wound.",Creates crystal mass that fires stream of crystal shards,1,30,Crystalian,Damage,Drops from Putrid Crystalians at Sellia Hideaway.,0
Eternal Darkness,"Forbidden sorcery of Sellia, Town of Sorcery. Creates a space of darkness that draws in sorceries and incantations. This sorcery can be cast while in motion. Originally a lost sorcery of the Eternal City; the despair that brought about its ruin made manifest.",Creates a dark space that draws in spells,1,15,Night,Defence,Found in the Swamp Lookout Tower near Sellia Gateway.,0
Explosive Ghostflame,"Sorcery of the servants of Death. Strike the ground with the staff, triggering an explosion of ghostflame that burns the surrounding area. In the time when there was no Erdtree, death was burned in ghostflame. Deathbirds were the keepers of that fire.",Causes ghostflame explosion that burns wide area,1,45,Death,Damage,"Drops from a Death Rite Bird that spawns at night, southeast of Apostate Derelict.",0
Fia's Mist,"Sorcery of Fia, the Deathbed Companion. Creates a deathly mist before the caster, which inflicts Death blight upon those who enter. This sorcery can be cast while in motion. Charging enhances range of the mist. This sorcery was developed to oppose the Roundtable Hold, and is effective only against the Tarnished.",Release a mist of death before caster,1,13,Death,Damage,"Obtained by defeating Fia's Champions in Deeproot Depths. After unlocking the Across the Roots Grace, head north and defeat the boss.",0
Founding Rain of Stars,"The eldest primeval sorcery, said to have been discovered by an ancient astrologer. A sorcery of legendary status. Summons a dark cloud of stars overhead. Shortly after, the cloud will release a violent deluge of star rain. This sorcery can be cast while in motion. Charging increases potency. Thought to be the founding glintstone sorcery. The glimpse of the primeval current that the astrologer saw became real, and the stars' amber rained down on this land.",Releases a downpour of star rain for a while,2,31,Primeval Sorceries,Damage,"Inside a chest within Heretical Rise, in Mountaintops of the Giants.",0
Freezing Mist,Sorcery said to have been used by the old snow witch. Releases a cold mist before the caster.This sorcery can be cast while in motion. Charging enhances range of the mist. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery. NOTE:,Releases cold mist before caster,1,13,Cold,Damage,"Purchased from Preceptor Seluvis in Seluvis's Rise for 6,000 Runes.",0
Frozen Armament,Sorcery said to have been used by the old snow witch.Enchants armament held in the right hand with frost.This sorcery can be cast while in motion.The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery. NOTE:,Enchants right-hand armament with frost,1,10,Cold,Buff,Dropped by a Teardrop Scarab in an area behind Caria Manor. This location is accessible only after completing the manor and defeating Royal Knight Loretta.,0
Gavel of Haima,"One of the glintstone sorceries of the Academy of Raya Lucaria.Creates a magical greathammer and slams it down.Allows one follow-up attack.Drawn from the scholarly conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict. Note:",Attacks using a magic greathammer,1,38,Glintstone,Damage,Can be found in the chest at the top of the Converted Fringe Tower in the Liurnia of the Lakes region,0
Gelmir's Fury,"One of the sorceries developed from the magma of Mt. Gelmir. Conjures a surge of magma from the earth, covering the area. Charging extends the surge of magma. This sorcery is held to represent the fury of the volcano, but the arrogance of attempting to harness it is solely that of men and serpents. Note:",Covers area with surge of magma from the earth,1,38,Magma,Damage,Given by Recusant Bernahl at Volcano Manor after completing his contract,0
Glintblade Phalanx,"One of the sorceries of the Carian royal family. Creates a defensive arch of magic glintblades overhead, whichautomatically attack nearby foes.This sorcery can be cast while in motion. Bestowed upon the enchanted Carian knights, who combined thisart with their swordsmanship to maintain pressure upon theirfoes, striking in waves of steel and sorcery. NOTE:",Forms a defensive arch of magic glintblades,1,12,Carian,Defence,"Can be purchased for 2,500 Runes, after giving the Royal House Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
Glintstone Arc,"Fires a horizontal arc of magic that spreads outward.This sorcery can be cast repeteadly and while in motion. Granted to sorcererers who depart from the academy to embark on journeys, in order to fend off large groups of would-be adversaries. Fools often roam in packs. NOTE:",Launches a horizontally-widening magic arc,1,18,Glintstone,Damage,"Dropped by Teardrop Scarab in the southern portion of the Agheel Lake area in Limgrave, where Giant Crabs dwell. Beware of a Giant Crab ambush!Starting Item for the AstrologerCan be purchased from Sorceress Sellen for 1500 Runes. Sellen is located in Limgrave: Waypoint Ruins Can be purchased from Thops for 1500 Runes. Thops is at the Church of Irith.",0
Glintstone Cometshard,"One of the glintstone sorceries of the Academy of Raya Lucaria.Fires a magical comet with a trailing tail.This sorcery can be cast repeatedly and while in motion. Charging enhances potency.A sorcery of the Karolos Conspectus, the most venerable of the academy.",Fires a magic comet with a trailing tail,1,28,Glintstone,Damage,"Can be purchased for 12,000 Runes after you deliver the Conspectus Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
Glintstone Icecrag,"Sorcery said to have been used by the old snow witch. The glintstone serves as a conduit, launching a mass of cold magic. This sorcery can be cast repeatedly and while in motion. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery. NOTE:",Fires mass of cold magic from glintstone,1,26,Cold,Damage,"Purchased from Preceptor Seluvis in Seluvis's Rise for 7,500 Runes.",0
Glintstone Pebble,"The most basic glintstone sorcery of the Academy of Raya Lucaria. The glintstone serves as a conduit, launching magical projectiles at foes.This sorcery can be cast repeatedly and while in motion. This is a universal first step on the journey to true knowledge of sorcery. NOTE: This was changed with Patch 1.07 as follows: The Attack Power was increased.",Fires magic projectiles from glintstone,1,20,Glintstone,Damage,"Starting Spell for the AstrologerCan be purchased from Sorceress Sellen for 1,000 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
Glintstone Stars,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires three magic shooting stars that pursue the target.This sorcery can be cast while in motion. Charging enhancespotency. A sorcery of the Olivinus Conspectus, which attracts sorcerers from Sellia, Town of Sorcery. NOTE:",Fires guided magic shooting stars,1,21,Glintstone,Damage,"Can be purchased from Sorceress Sellen for 3,000 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
Gravity Well,One of the glintstone sorceries that manipulates gravitational forces.Fires a projectile of condensed gravitational force. Those struck by it will be pulled toward the caster.Charging enhances potency.A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.,Pulls foes toward caster with gravity projectile,1,20,Gravity,Utility,Location: Raya Lucaria AcademyNearest Site of Grace: Church of the Cuckoo or Schoolhouse ClassroomDropped by the Monolith Guardian enemy that appears from a gravity portal. The section is near the graveyard and the large rotating lift of Raya Lucaria Academy.,0
Great Glintstone Shard,"One of the glintstone sorceries of the Academy of Raya Lucaria.The glintstone serves as a conduit, launching large magical projectiles at foes.This sorcery can be cast repeatedly and while in motion.Those unworthy of the stone crown typically end their brief journey into sorcery here.",Fires larger magic projectiles from glintstone,1,26,Glintstone,Damage,"Can be purchased for 2,000 Runes after you deliver the Academy Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
Great Oracular Bubble,Sorcery of the claymen who served as priests in the ancient dynasty. Produces a gigantic magical bubble that drifts towards foes before it naturally ruptures. Charging increases the delay before the bubble pops. The claymen search for lost oracles within their bubbles. Note:,Launches a large magic bubble,1,27,Claymen Sorceries,Damage,Obtained by defeating the Teardrop Scarab found inside the large stone ruin at the highest level of the Siofra River. Map Link,0
Greatblade Phalanx,"One of the sorceries of the Carian royal family.Creates a defensive arch of larger magic glintblades overhead, which automatically attack nearby foes.Used by the enchanted troll knights.They were the comrades of the young Rennala, bound by oath. NOTE:",Forms a defensive arch of larger magic glintblades,1,20,Carian,Defence,"Cuckoo's Evergaol: Dropped by Bols, Carian Knight upon defeat.",0
Loretta's Greatbow,Sorcery used by Royal Knight Loretta.Creates a magic greatbow and fires a great arrow.Charging enhances potency. Hold to keep the great arrow nocked.It is said that the bow was Loretta's favored weapon. NOTE:,Fires great arrow from a magic greatbow,1,30,Loretta's Sorceries,Damage,Caria Manor: Dropped by Royal Knight Loretta upon defeat. [Map Link],0
Loretta's Mastery,"Sorcery used by Loretta, Knight of the Haligtree. Creates a magic greatbow and fires four great arrows simultaneously. Charging enhances potency. Hold to keep the great arrows nocked. Developed by Loretta after her long, bloody journey to seek out a place where the Albinaurics could live in peace. NOTE:",Fires four great arrow from a magic greatbow at once,1,33,Loretta's Sorceries,Damage,"Dropped by Loretta, Knight of the Haligtree upon defeat",0
Lucidity,One of the sorceries of the Carian royal family. Alleviates buildup of sleep and madness. This sorcery can be cast while in motion. The Carian knights never waver.,Alleviates buildup of sleep and madness,1,10,Carian,Buff,Dropped by Preceptor Miriam in the secret area of the Carian Study Hall unlocked using the Carian Inverted Statue. Map Link,0
Magic Downpour,One of the sorceries of the Carian royal family. Summons a mass of magic that fires projectiles over a wide area.This sorcery can be cast while in motion. Charging extendsduration. Said to have been taught by the Crystalians to mark the swearingof the old concord. NOTE:,Summon a magic mass that sprays projectiles over area,1,17,Carian,Damage,Dropped by Preceptor Miriam in the Carian Study Hall.,0
Magic Glintblade,"An old sorcery of the Carian Royal Family. Creates a sigil overhead, from which an enemy-seeking glintblade appears after a brief delay. This sorcery can be used while in motion. Charging increases the delay. Said to be the prototype of the sword-phalanx sorceries wielded by royal enchanted knights. is Note:",Creates sigil that forms a projectile glintblade after delay,1,22,Carian,Damage,"Starting Equipment for the Prisoner ClassCan be purchased from Miriel, Pastor of Vows at the Church of Vows for 3,000 Runes.",0
Magma Shot,"One of the sorceries developed from the magma of Mt. Gelmir. Fires a lump of magma that explodes on contact. Charging enhances potency. After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery. NOTE:",Fires lump of magma that explodes on contact,1,21,Magma,Damage,Rewarded by Tanith for completing Volcano Manor's first assassination quest. Map Link.,0
Meteorite,"One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a rain of small meteorites.Hold to continue the effect. The sorcery originates from the Onyx Lords, who had skin of stone, and were called lords in reverential fear of their destructive power.",Calls small meteors down from the sky,1,35,Gravity,Damage,Royal Grave Evergaol: Dropped by the Alabaster Lord upon defeat.,0
Meteorite of Astel,One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a hail of meteorites. Hold to continue the effect. A manifestation of the power with which Astel leveled the Eternal City.,Calls a hail of small meteorites from the void.,2,40,Gravity,Damage,"Yelough Anix Tunnel: Dropped by the Astel, Stars of Darkness upon defeat.",0
Night Comet,"One of the night sorceries of Sellia, Town of Sorcery. Fires a semi-invisible magic comet.This sorcery can be cast repeatedly and while in motion. Charging enhances potency. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",Fires a semi-invisible magic comet,1,30,Night,Damage,"Found in Sellia, Town of Sorcery: Found in a chest in the central section of town. This location is initially sealed by a barrier that can be dispelled by lighting a brazier atop a tower in the southwest of town.",0
Night Maiden's Mist,"One of the night sorceries of Sellia, Town of Sorcery. Releases a life-sapping silver mist before the caster, dealingdamage to all caught within, including the caster.This sorcery can be cast while in motion. Below Sellia, the Eternal City of Nokron sleeps. This sorceryoriginates from the maiden of that place.",Releases life-sapping silver mist before caster,1,20,Night,Damage,"Can be purchased from Gowry for 5,000 Runes after completing his quest line.",0
Night Shard,"One of the night sorceries of Sellia, Town of Sorcery. Swiftly fires a semi-invisible projectile. This sorcery can be used without delay after performing another action. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows. NOTE:",Swiftly fires a semi-invisible magic projectile,1,9,Night,Damage,"Can be purchased from Gowry for 4,000 Runes after completing his quest line.",0
Oracle Bubbles,Sorcery of the claymen who served as priests in the ancient dynasty. Produces several small magical bubbles that drift towards foes before they naturally pop. Charging increases the delay before the bubbles pop. The claymen search for lost oracles within their bubbles. Note:,Launches several small magic bubbles,1,18,Claymen Sorceries,Damage,Can be found by killing one of the rolling beetles on top of a broken statue in the first structure on the right from the Siofra River Well Depths site of grace.,0
Rancorcall,"Sorcery of the servants of Death. Summons vengeful spirits that chase down foes. Charging enhances potency. Once thought lost, this ancient death hex was rediscovered by the necromancer Garris. Notes:",Summons vengeful spirits that chase down foes,1,21,Death,Damage,Stormveil Castle: Dropped from a Teardrop Scarab that can be found at the underground crypt of the castle.,0
Ranni's Dark Moon,"Legendary sorcery associated with the Carian queen. Uses the caster as a vessel to incarnate a cold, dark moon, then sends it floating toward foes. The dark moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes. This moon was encountered by a young Ranni, led by the hand of her mother, Rennala. What she beheld was cold, dark and veiled in occult mystery. NOTE:","Incarnate a cold, dark moon and launch it at foes.",2,32,Full Moon,Damage,Chelona's Rise: Found in a chest at the top of the tower after unlocking the seal. Follow Ranni the Witch questline to unlock this area.,0
Rennala's Full Moon,"Sorcery associated with the Carian queen. Uses the caster as a vessel to incarnate a full moon, then sends it floating toward foes. The full moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes. Queen Rennala encountered this enchanting moon when she was young, and later, it would bewitch the academy. NOTE:",Incarnate a full moon and launch it at foes,2,32,Full Moon,Damage,Obtained when unlocking the Remembrance of The Full Moon Queen's power by handing it over to Enia at Roundtable Hold.,0
Rock Blaster,"One of the glintstone sorceries of the Academy of Raya Lucaria. Imbues the ferrule of the caster's staff with magic, then thrusts itinto the ground to create a massive magical shockwave. Hold to continue moving without striking the ground, and thenpush the end of the staff into enemies. An enhanced version of the glintstone miners' Stonediggersorcery.",Thrust staff into ground to emit a massive shockwave,1,35,Glintstone (Stonediggers),Damage,Sellia Crystal Tunnel: Found in a chest inside a storage shed in the upper levels of the main cavern.,0
Rock Sling,One of the glintstone sorceries that manipulates gravitational forces. Pulls a clump of rocks from the earth and sends them flying. This sorcery can be cast while in motion. A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.,Summons rocks from the earth and sends its flying,1,29,Gravity,Damage,"Found in a chest in an underground cellar just north of the Street of Sages Ruins icon on the map. It is surrounded by poison mages, but otherwise is free to be picked up.",0
Roiling Magma,"One of the sorceries developed from the magma of Mt. Gelmir.Fires a lump of condensed magma that explodes a short delay after hitting the target.Charging enhances potency and further delays the explosion.After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery. NOTE:",Fires lump of magma that explodes after delay,1,27,Magma,Damage,Found on a corpse inside the Hermit's Shack in Mt. Gelmir.,0
Rykard's Rancor,"The terrible power of Rykard, Lord of Blasphemy. Summons searing spirits that leave a trail of delayed explosions in their wake. These spirits manifest from the rancor of heroes who met a violent end. The lord granted them an audience, whereupon they were welcomed by the maw of the great serpent -- and within the serpent's bowels, they became the lord's kin. Note:",Releases searing spirits that repeatedly explode after delay,2,36,Magma,Damage,Obtained when unlocking the Remembrance of the Blasphemous power by handing it over to Enia at Roundtable Hold,0
Scholar's Armament,One of the glintstone sorceries of the Academy of Raya Lucaria. Enchants armaments held in the right hand with magic-affinity attacks.This sorcery can be cast while in motion. Taught to the Knights of the Cuckoo by the academy as payment for their contract.,Enchants right-hand armament with magic damage,1,10,Glintstone,Buff,"Can be purchased from Sorceress Sellen for 3,000 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
Scholar's Shield,One of the glintstone sorceries of the Academy of Raya Lucaria. Enchants shield held in the left hand with additional damage negation.This sorcery can be cast while in motion. Taught to the Knights of the Cuckoo by the academy as payment for their contract.,Enhances left-hand shield damage negation,1,10,Glintstone,Buff,Can be purchased from Sorceress Sellen for 2500 Runes. Sellen is located in Limgrave: Waypoint Ruins,0
