name,description,effect,slot,stamina_cost,bonus,group,location,dlc
Pest-Thread Spears,"Skill of the pests known as the Kindred of Rot, now wielded as an incantation. Secrete numerous sticky threads, then twist them into two spears launched frontwards. Charge to enhance potency. The pests are abandoned servants, and it is for this reason that they found a mother in the Saint of the Bud.",Secrete sticky threads and twist them into two frontward flying spears,1,29,Servants of Rot,Damage,"From the Church of the Bud, Main Enterance grace, go North back into the cave and down the stairs, then take a right or left (it doesn't matter) and head behind the stairs, the incantation will be directly behind, guarded by one enemy. [Map Link] [Video Link]",1
Midra's Flame of Frenzy,"Incantation in praise of Midra, Lord of Frenzied Flame. Summons an apparition of the Lord's head to spew frenzied flame. This incantation can be used while in motion. The apparition will remain for as long as the input is held. The Lord of Frenzied Flame shall take their torment, despair. Their affliction. Every sin, every curse. All melted away. Yet Midra, like others before him, was too weak to become a Lord.",Summons Lord of Frenzied Flame's head to spew frenzied flame,2,20,Frenzied Flame,Damage,Can be selected as one of the possible rewards when trading Remembrance of the Lord of Frenzied Flame with Enia at the Roundtable Hold.,1
Divine Beast Tornado,"The tempest of the Dancing Lion, wielded as an incantation. A whirlwind-like twist of the body summons a storm, launching a tornado forward. Charging enhances potency. The majority of divine beasts were gored and hung upon Messmer's spears, then burned in his flame. Those who witnessed the deed likened it to a funeral pyre for the tower itself.",Summons a storm that launches a tornado forward,1,20,No,Damage,The Divine Beast Dancing Lion of the North East from the Temple Town Ruins Site of Grace drops this incantation upon defeat. [See Shadow of the Erdtree Map],1
Divine Bird Feathers,"A technique of the divine bird warriors, the very first of all horned warriors, wielded as an incantation. Spread the arms wide like wings to release a flurry of feathers. This incantation can be cast while in motion. Hold to continue releasing feathers. The divine bird warriors, and indeed this technique, are said to bear resemblance to the golden Crucible.",Spreads arms like wings and releases a flurry of feathers,1,3,No,Damage,Location goes here...,1
Fire Serpent,"Incantation of the Fire Knights under Messmer the Impaler's personal command. Launch a serpentine flame that bends and curls in pursuit of its foe. Charging enhances potency. When the flame they received from Messmer would not find purchase within them, the Fire Knights relied on fire incantations to honor their bond.",Launches a threaded serpentine flame,1,22,Messmer Fire,Damage,"Shadow Keep: From the Storehouse site of grace, find the ladder and climb it up, pass the enemies, and move forward until you reach the balcony. You will find the item there. [Map Link]",1
Rain of Fire,"Incantation of Salza, sage of the Fire Knights. Summons a cloud of flame overhead that rains fire for a short time. Charging increases potency. Salza's disdain for barbarism never waned, even as he burned more villages and scorched more land than any other.",Rains fire for a short duration,1,31,Messmer Fire,Damage,"From the West Rampart Site of Grace, take the bridge all the way. Use Torrent to avoid being trapped in the Rain of Fire. Defeat the Fire Knight at the end to obtain this and Salza's Hood. [Map Link]",1
Messmer's Orb,"An incantation of Messmer the Impaler. Summons Messmer's flame to form a giant floating orb. The orb soars toward a foe, crashes into the earth, and explodes after a brief delay. Charging enhances potency. Messmer despised his own fire. Time and time again he hoped to rid himself of it, but ever did it burn.",Shapes Messmer's flame into a giant orb that soars at foe,2,43,Messmer Fire,Damage,Can be selected as one of the possible rewards when trading Remembrance of the Impaler with Enia at the Roundtable Hold,1
Watchful Spirit,"An entreaty received from the Empyrean grandam. Summon a guardian spirit above the caster's head. The spirit never strays far from the caster, conjuring several apparitions before dissipating. ""Take vengeance upon Messmer and his lot. They who betrayed us, aye, they who burned us... Let them face in thy wrath their just deserts.""",Summons a guardian spirit above the caster's head,1,20,Spiral,Damage,"Given by Hornsent Grandam after defeating the Divine Beast Dancing Lion. Talk to her twice with the Divine Beast Head equipped, to receive this incantation. [Map Link]",1
Golden Arcs,"Sorcery of the inquisitors of the tower, wielded as an incantation of the spiral. A swing of the arm releases a procession of golden arcs. Charging enhances potency. The arcs resemble barbs, a known symbol of coercive questioning.",Releases a procession of golden arcs with a swing of the arm,1,20,Spiral,Damage,"Head southeast of Moorth Ruins. From the Shattered Stone Talisman chest, drop down to the nearest platform and continue descending until you reach the ground where three Inquisitors are situated. Defeat them and enter the small building nearby to find this item inside a chest. [Map Link]",1
Giant Golden Arc,"Sorcery of the inquisitors of the tower, wielded as an incantation of the spiral. A swing of the arm releases a giant golden arc. Charging enhances potency. The arc resembles the barb, a known symbol of coercive questioning.",Releases a giant golden arc with a swing of the arm,1,20,Spiral,Damage,Obtained by looting a chest in the Ruins of Unte. The chest is inside a building in a flower area that is only accessible after using a Hefty Furnace Pot and throwing it at the head of the deactivated Furnace Golem that blocks the entrance so that it moves away. [Elden Ring Map],1
Spira,"Superior sorcery of the tower priests, wielded as an incantation of the spiral. Wrap one's arms together and hold them up to the heavens to summon a spiral of light that erupts at the enemy's feet. Column of light persists for as long as the button is pressed. The spiral is a normalized Crucible current that, one day, will form a column that stretches to the gods.",Summons a spiral of light that erupts at the enemy's feet,2,14,Spiral,Damage,"Past the impenetrable thorns at the end of Belurat, Tower Settlement. It would be on a small altar that is directly in front of statue. [Map Link]",1
Agheel's Flame,"Superior incantation of Dragon Communion.Channels the power of the flying dragon Agheel. Transforms caster into a dragon to spew flaming breath from above.Charging extends duration. This incantation can be used while jumping. The dead gazed at the skies over the lakes of Limgrave, praying that the dragons' flames would burn them to ash.",Spews flame breath of Agheel from above,1,60,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion in Caelid for 2 Dragon Hearts. Players need to defeat Flying Dragon Agheel in order to unlock this Incantation.,0
Ancient Dragons' Lightning Spear,"A secret incantation of the capital's ancient dragon cult. Creates a spear of red lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning covering the area. Spoken of in legend, red lightning is the weapon wielded by the ancient dragons. Note:",Stabs with red lightning spear from above,1,41,Dragon Cult,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Ancient Dragon Prayerbook for 8,500 Runes.",0
Ancient Dragons' Lightning Strike,"A secret incantation of the capital's ancient dragon cult. Summons a red bolt of lightning that scatters and spreads around the surrounding area. Charging enhances the range of the lightning bolt. Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",Summons red lightning that spreads from impact,1,31,Dragon Cult,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Ancient Dragon Prayerbook for 10,000 Runes.",0
Aspects of the Crucible: Breath,"One of the ancient Erdtree incantations. Creates a throat pouch on the caster's neck, allowing them to spew fiery breath while walking. Charging increases duration of the breath. This is a manifestation of the Erdtree's primal vital energies - an Aspects of the primordial crucible, where all life was once blended together.",Creates throat pouch to spew fire while walking,1,40,Erdtree Ancient,Damage,Obtained from Tanith's Crucible Knight invasion after attacking Tanith inside Rykard's boss room.,0
Aspects of the Crucible: Horns,"One of the ancient Erdtree incantations. Creates a mighty horn on the caster's shoulder to gore foes from a low stance. Charging allows the caster to barrel into foes before delivering the final attack. This is a manifestation of the Erdtree's primal vital energies - an aspect of the primordial crucible, where all life was once blended together. NOTE:",Creates shoulder horn to gore foes form low stance,1,49,Erdtree Ancient,Damage,"Obtained by defeating Crucible Knight in Stormveil Castle. To reach the Knight you must drop down a series of ledges to the left, outside of Rampart Tower grace.",0
Aspects of the Crucible: Tail,"One of the ancient Erdtree incantations. Creates a supple tail that sweeps through foes before the caster.Charging enhances potency. This is a manifestation of the Erdtree's primal vital energies - anaspect of the primordial crucible, where all life was once blendedtogether. NOTE:",Creates supple tail to sweep area before caster,1,42,Erdtree Ancient,Damage,Obtained by defeating Crucible Knight at the Stormhill Evergaol,0
Assassin's Approach,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Completely silences the footsteps of the caster. Additionally, reduces fall damage and the sound produced by falling. This incantation can be cast while in motion or crouching. The assassins were charged with eliminating Tarnished who had strayed from guidance. NOTE:","Silences footsteps, reduces fall damage/ sound",1,13,Two Fingers,Buff,"Starting Incantation for the Confessor ClassPurchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Assassin's Prayerbook for 2,000 Runes.",0
Barrier of Gold,"One of the incantations of Erdtree Worship. Greatly increases magic damage negation for the caster and nearby allies. Hold to continue praying and delay activation. This incantation was used by the champions of the Erdtree in the First and the Second Liurnian Wars, during which the red-haired Radagon joined the heroes' ranks",Greatly increases magic damage negation for self & allies,1,13,Erdtree,Buff,"Dropped by an invisible Teardrop Scarab in Leyndell, Royal Capital, near where you fight Godfrey, First Elden Lord (Golden Shade). Can be found after heading down the stairs and taking the elevator, right after the fight with Godfrey, First Elden Lord. Elden Ring Interactive Map Link",0
Beast Claw,"Incantation taught by Gurranq, the Beast Clergyman. Creates beast claws that rend the land with shockwaves.Charging enhances potency. This incantation represents the fury of Gurranq, his bestial nature returned, as much as it does his restless agitation. Notes:",Creates claws that tear through the land.,1,27,Bestial,Damage,"Bestial Sanctum: Reward from Gurranq, Beast Clergyman after giving him the fifth Deathroot. Map Link.",0
Bestial Constitution,"Incantation taught by Gurranq, the Beast Clergyman. Fills the body with bestial vigor, alleviating buildup of frost and blood loss. Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",Alleviates blood loss and frost buildup,1,10,Bestial,Healing,"Found by killing a golden scarab along the cliffside North East of the Minor Erdtree in Caelid, close to the bridge to the Bestial Sanctum.",0
Bestial Sling,"Incantation taught by Gurranq, the Beast Clergyman.Swiftly flings a number of sharp rock shards.This incantation can be cast without delay after performing another action. It is said that in the time before the Erdtree, stones were the firstweapons of the beasts who had gained intelligence. deals x% of your incant scaling in damage (INFORMATION NEEDED)",Swiftly flings numerous sharp rock shards,1,19,Bestial,Damage,"Bestial Sanctum: Reward from Gurranq, Beast Clergyman after giving him the first Deathroot.",0
Bestial Vitality,"Incantation taught by Gurranq, the Beast Clergyman. Fills the body with bestial vigor, restoring HP over a period of time. Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold. cost",Heals HP over a period of time,1,10,Bestial,Buff,"Bestial Sanctum: Reward from Gurranq, Beast Clergyman after giving him the third Deathroot",0
Black Blade,"Power gleaned from the remembrance of Maliketh. Caster creates an illusory black blade, then leaps forward to deliver a spinning slash that emits a wave of light. This can be followed up with one additional attack. This blade was once imbued with Destined Death. In addition to dealing damage, it reduces foes' maximum HP and continues to sap their current HP for a very short time.",Black blade spinning slash that emits wave of light,2,44,Erdtree,Damage,Trade Remembrance of the Black Blade with Enia at Roundtable Hold.,0
Black Flame,A black flame incantation of the Godskin Apostles. Throws a ball of raging black fire. Charging enhances potency and causes the fireball to explode. Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time. NOTE:,Throws a ball of raging black fire,1,25,Godskin Apostle,Damage,"This incantation is unlocked for purchase after giving a Godskin Prayerbook to Brother Corhyn or Miriel, Pastor of Vows for 7,500 Runes.",0
Black Flame Blade,A black flame incantation of the Godskin Apostles. Engulfs armament held in the right hand with black flame. This incantation can be cast without delay after performing another action. Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.,Enchants right-hand armament with black flame,1,10,Godskin Apostle,Buff,"This incantation is unlocked for purchase after giving a Godskin Prayerbook to Brother Corhyn or Miriel, Pastor of Vows for 6,00 Runes.",0
Black Flame Ritual,Superior black flame incantation of the Godskin Apostles. Summons a circle of black flame pillars around the caster. Charging increases the size of the circle. The Gloam-Eyed Queen led the apostles. It is said that she was an Empyrean chosen by the Fingers.,Summons circle of black flame pillars around caster.,1,39,Godskin Apostle,Damage,Dropped by Godskin Apostle and Godskin Noble boss fight in Spiritcaller's Cave.,0
Black Flame's Protection,"A black flame incantation of the Godskin Apostles. Summons black fire within, increasing physical damage negation. However, sacred flasks and other such forms of HP restoration are impaired. The Apostles were all embraced by the Gloam-Eyed Queen, and the black flame was their armor within.",Increases physical damage negation,1,13,Godskin Apostle,Buff,"Received from Gideon Ofnir, after reaching Miquella's Haligtree.Purchasable at Twin Maiden Husks after defeating Maliketh, the Black Blade.",0
Blessing of the Erdtree,"One of the ancient Erdtree incantations Grants a greater blessing to the caster and nearby allies, gradually restoring a large amount of HP.Hold to continue praying and delay activation. The Erdtree once flourished with abundance- yet it was only for a fleeting moment. Such is the course of all life.",Grants greater blessing to self and nearby allies,1,50,Erdtree,Buff,Found at Queens Bedchamber in Leyndell Royal Capital. [Map Link],0
Blessing's Boon,"One of the ancient Erdtree incantations. Grants a blessing to the caster and nearby allies, gradually restoring HP.Hold to continue praying and delay activation. Blessings once fell like tears from the Erdtree, and this incantation is but a lingering remnant of their power.",Grants blessing to self and nearby allies,1,30,Erdtree,Buff,"Can be purchased from Miriel, Pastor of Vows at the Church of Vows for 4,000 Runes.",0
Bloodboon,"Sacred incantation of Mohg, Lord of Blood. Thrust arm into the body of the Formless Mother, then scatter the bloodflame to set the area ablaze. This incantation can be cast while in motion. The mother of truth craves wounds. When Mohg stood before her, deep underground, his accursed blood erupted with fire, and besotted with the defilement that he was born into. NOTE:",Scatters bloodflame before caster to set area aflame.,1,34,Blood,Damage,Trade Remembrance of the Blood Lord with Enia at Roundtable Hold.,0
Bloodflame Blade,"A Blood Oath incantation, granted by the Lord of Blood. Engulfs armament held in the right hand with bloodflame.This incantation can be cast while in motion. After dealing damage, bloodflame continues to build up onset of blood loss for a very short time.",Enchants right-hand armament with bloodflame,1,10,Blood,Buff,"Liurnia of the Lakes: Dropped by a Teardrop Scarab in the marshes near the Rose Church, southwest of the lake. [Map Link] (Note that there is another scarab in this area that does not drop anything)",0
Bloodflame Talons,"A Blood Oath incantation, granted by the Lord of Blood. Creates bloodflame lacerations before the caster, which explode in an instant. This incantation can be cast repeatedly. After dealing damage, bloodflame continues to build up onset of blood loss for a very short time. will NOTE:",Creates bloodflame lacerations that then explode,1,21,Blood,Buff,Dropped by Mohg. the Omen in Forsaken Depths under the Capital.,0
Borealis's Mist,"Superior incantation of Dragon Communion. Channels the power of Borealis, the Freezing Fog. Transforms caster into a dragon to spew icy breath from above. Charging extends the duration. This incantation can be cast while jumping. The ice dragons were once lords of the mountaintops long ago, until they were defeated by the Fire Giants and chased from the peak.",Spews icy breath of Borealis from above,1,60,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion. Players need to defeat Borealis the Freezing Fog in order to unlock this Incantation.,0
"Burn, O Flame!","One of the incantations that draws directly from the power of the Fire Giants. Raises a series of flame pillars around the caster. Charging further increases the number of flame pillars. The Fire Giants borrowed from the power of a fell god, and still they were defeated. Yet their failure released them from their solitary curse: to serve as keepers of the Flame for eternity. Note:",Raises a series of flame pillars around caster,1,36,Fire Giant,Damage,Trade Remembrance of the Fire Giant with Enia at Roundtable Hold.,0
Catch Flame,Incantation originating from a sinister prophecy. Momentarily sparks flame from the caster's hand. This incantation can be cast without delay after performing another action. The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment.,Momentarily sparks flame from hand,1,17,Fire Monk,Damage,Starting equipment for the Prophet ClassPurchase from Brother Corhyn.,0
Cure Poison,"Incantation of the Two Fingers' faithful. Alleviates poison buildup and cures poison. This incantation can be cast while in motion. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",Cures poison ailment and reduces poison build-up.,1,10,Two Fingers,Healing,"Sold by Brother Corhyn at the Roundtable Hold for 1,000 Runes.",0
Darkness,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Creates a veil of darkness that conceals the caster.This incantation can be cast while in motion or crouching. The assassins were themselves once Tarnished who had strayed from guidance, and they pursued their duty in the darkness that is without grace. Note:",Creates area of darkness that conceals caster,1,24,Two Fingers,Buff,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Assassin's Prayerbook for 3,500 Runes.",0
Death Lightning,"Incantation that channels the power of the ancient dragon Fortissax, now corrupted by Death. Strikes surroundings with a storm of Death lightning. Inflicts Death blight upon foes. Charging extends duration of the storm. It is said that this golden lightning was wielded by Godwyn, who befriended Fortissax. NOTE:",Strikes surroundings with storm of death lightning,2,32,Dragon Cult,Damage,Trade Remembrance of the Lichdragon with Enia at Roundtable Hold.,0
Discus of Light,"One of the incantations of the Golden Order fundamentalists. Produces a ring of light and fires it forwards. The ring of light returns to a position close to the caster before disappearing. This incantation can be cast repeatedly. A gift from the young Miquella to his father, Radagon. Note: Updated to patch 1.07. See Patch Notes for details. used on larger enemies used while on horseback",Fires ring of light before the caster,1,20,Golden Order,Damage,"Purchase from Brother Corhyn for 11,000 Runes after he moves to Goldmask's location at Altus Plateau.",0
Divine Fortification,"Incantation of the Two Fingers' faithful. Increases holy damage negation.This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights and the scions of gold. Heed me the Lands Between offers no welcome to the Tarnished.",Increases holy damage negation,1,13,Two Fingers,Buff,Weeping Peninsula: Dropped by a Teardrop Scarab atop a collapsed stone structure overgrown with yellow moss. This structure is found a short distance southwest of the Tombsward Ruins.,0
Dragonbolt Blessing,"Superior incantation of the capital's ancient dragon cult. Summons lightning to bolster the caster's body. Attacks become easier to deflect and resistance to all ailments is increased. However, lightning damage negation will be reduced. Only those loved by dragons can survive the ordeal of cladding their bodies in lightning.",Bolsters caster's body with lightning,1,20,Dragon Cult,Buff,"Found at Stormcaller Church, inside a chest that's against a wall. [Map Link]",0
Dragonclaw,One of the incantations of Dragon Communion. Transforms caster into a dragon to tear through foes with dragon claws. Allows one follow-up attack. Incantation of those who have hunted dragons and feasted upon their hearts. This is a pure and overwhelming power.,Channels dragon to rend foes with dragon claws,1,50,Dragon Communion,Damage,Found on the island with the Church of Dragon Communion. You need 1 Dragon Heart in order to acquire it.,0
Dragonfire,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew flaming breath. Charging extends duration. Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.,Channels dragon to spew flame breath,1,40,Dragon Communion,Damage,Found on the island with the Church of Dragon Communion. You need 1 Dragon Heart in order to acquire it.,0
Dragonice,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew icy breath.Charging extends duration. Those extraordinary individuals who perpetuate DragonCommunion are called the dragon-hearted.,Channels dragon to spew icy breath,1,48,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 1 Dragon Heart.,0
Dragonmaw,One of the incantations of Dragon Communion. Transforms caster into a dragon to bite enemies before them. Incantations of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power. Note: either,Channels dragon to bite foes before caster,1,72,Dragon Communion,Damage,Found on the island with the Church of Dragon Communion. You need 1 Dragon Heart in order to acquire it. Map Link.Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 1 Dragon Heart.,0
Ekzykes's Decay,"Superior incantation of Dragon Communion.Channels the power of Ekzykes, the Decaying. Transforms caster into a dragon to spew scarlet rot breath from above.Charging extends duration. This incantation can be cast while jumping. Ekzykes, Dragon Communion Revenger, did not forget his hatred even as he succumbed to the scarlet rot. NOTE",Spews scarlet rot breath of Ekzykes from above,1,60,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 2 Dragon Hearts.,0
Elden Stars,"This legendary incantation is the most ancient of those that derive from the Erdtree. Creates a stream of golden shooting stars that assail the area. It is said that long ago, the Greater Will sent a golden star bearing a beast into the Lands Between, which would later become the Elden Ring. NOTE:",Creates a steam of golden shooting stars that assail the area.,2,48,Erdtree,Damage,"From the Great Waterfall Crest until you find a pack of Giant Ants. Follow the roots and head inside the cave, you'll find Elden Stars inside.",0
Electrify Armament,"One of the incantations of the capital's ancient dragon cult. Enchants armament held in the right hand with lightning-affinity attacks. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe an event that gave rise to the ancient dragon cult in the capital.",Enchants right-hand armament with lightning damage,1,10,Dragon Cult,Buff,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Dragon Cult Prayerbook for 4,000 Runes.",0
Erdtree Heal,One of the ancient Erdtree incantations. Heals a vast amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. The Erdtree once flourished with abundance - yet it was only for a fleeting moment. Such is the course of all life.,Vastly heals HP for self and nearby allies,1,50,Erdtree,Healing,"Can be found in Queen's Bedchamber in Leyndell, Ashen Capital",0
Fire's Deadly Sin,"Incantation originating from a deeply ominous prophecy. Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency. The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin. ""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men.""",Sets area and self ablaze with raging flames,1,28,No,Damage,"Reward from completing the ""Flightless Bird"" painting puzzle.",0
